"","Player","Team","Year","age","g","mp_per_game","x3pa","x3ppercent","efgpercent","ftpercent","ast","tov","pf","per","ftr","drbpercent","stlpercent","blkpercent","tovpercent","usgpercent","dws","dbpm","vorp","Age","ORtg","FTr","eFG.","ORB.","FT.FGA","G","MP","FGA","X3P.","FT.","DRB","TRB","AST","STL","BLK","TOV","pos","EWING"
"1","Eddie Johnson","ATL",1982,26,68,34,0.4,0.233,0.454,0.764,5.3,2.7,2.8,16.5,0.381,0.063,0.022,0.004,0.136,0.256,2.6,-0.5,1.7,26.5,105.1,0.352,0.473,0.322,0.282,82,242.4,82.6,0.219,0.768,28.9,42.7,22.1,7.4,5.9,16.4,"SG","1"
"2","Eddie Johnson","ATL",1983,27,61,29.7,0.7,0.341,0.462,0.785,5.2,2.6,2.3,16,0.276,0.057,0.016,0.002,0.139,0.257,1.5,-2.2,0.3,26.6,102.2,0.295,0.473,0.307,0.223,82,241.2,87.1,0.239,0.751,29.7,43.6,23.7,7,8.1,17.4,"SG","0"
"3","Eddie Johnson","ATL",1984,28,67,28.3,0.6,0.372,0.452,0.77,5.6,2.6,2.3,14.2,0.267,0.07,0.015,0.002,0.162,0.243,1.4,-2,-0.1,26.6,105.5,0.355,0.482,0.316,0.268,82,242.1,83,0.217,0.761,27.2,40.8,22.3,7.6,6.8,16.2,"SG","0"
"4","Dan Roundfield","ATL",1984,30,73,35.8,0.2,0,0.485,0.77,2.5,2.8,3,18.9,0.468,0.229,0.012,0.017,0.141,0.241,3.6,1.1,2.7,26.6,105.5,0.355,0.482,0.316,0.268,82,242.1,83,0.217,0.761,27.2,40.8,22.3,7.6,6.8,16.2,"PF","0"
"5","Eddie Johnson","ATL",1985,29,73,32.4,1,0.306,0.49,0.798,7.8,3.3,2.5,15.8,0.351,0.07,0.009,0.002,0.183,0.233,1.4,-2.5,0.4,25.5,105.9,0.333,0.485,0.325,0.249,82,242.1,86.8,0.311,0.752,28.6,42.8,24.5,8.1,6.6,18,"SG","1"
"6","Reggie Theus","ATL",1989,31,82,30.7,0.7,0.293,0.474,0.851,4.7,2.4,2.9,16.1,0.314,0.069,0.021,0.004,0.138,0.228,2,-0.9,1.8,28.5,112.2,0.375,0.482,0.371,0.256,82,241.5,88.2,0.277,0.8,28.2,45,24.3,10,5.8,16,"SG","0"
"7","Dominique Wilkins","ATL",1994,34,49,34.4,4,0.308,0.462,0.854,2.3,2.4,1.8,21.1,0.323,0.122,0.019,0.008,0.095,0.32,2.3,-1.5,1.4,28.7,107.2,0.294,0.475,0.346,0.185,82,240.9,85.8,0.323,0.752,29.5,44.8,25.1,11.2,5.5,15.3,"SF","0"
"8","Danny Manning","ATL",1994,27,26,35.6,0.1,0.333,0.477,0.651,3.3,3.3,3.6,13.8,0.223,0.143,0.025,0.018,0.174,0.23,1.6,2.1,0.5,28.7,107.2,0.294,0.475,0.346,0.185,82,240.9,85.8,0.323,0.752,29.5,44.8,25.1,11.2,5.5,15.3,"PF","0"
"9","Steve Smith","ATL",1995,25,78,33.4,5.2,0.334,0.496,0.845,3.4,1.9,2.8,16.1,0.358,0.078,0.012,0.009,0.118,0.223,2.4,-1.2,2.2,28.2,106.6,0.292,0.495,0.316,0.215,82,242.1,81.5,0.341,0.724,27.7,41.2,21.4,9,5,14.9,"SG","1"
"10","Kevin Willis","ATL",1995,32,2,44.5,0.5,0,0.39,0.667,1.5,3.5,3.5,15.2,0.366,0.349,0.006,0.025,0.128,0.278,0.2,-1.8,-0.2,28.2,106.6,0.292,0.495,0.316,0.215,82,242.1,81.5,0.341,0.724,27.7,41.2,21.4,9,5,14.9,"PF","1"
"11","Grant Long","ATL",1995,28,79,32.6,0.4,0.355,0.487,0.756,1.6,1.9,2.9,14.6,0.447,0.188,0.022,0.01,0.152,0.175,4.2,1.8,1.5,28.2,106.6,0.292,0.495,0.316,0.215,82,242.1,81.5,0.341,0.724,27.7,41.2,21.4,9,5,14.9,"PF","1"
"12","Christian Laettner","ATL",1996,26,30,32.6,0.3,0,0.489,0.823,2.3,2.5,4,17.2,0.4,0.189,0.017,0.022,0.164,0.21,1.2,1.1,0.7,28.1,109.4,0.302,0.512,0.34,0.217,82,240.6,81.3,0.355,0.757,26.2,40.6,19.6,9.4,3.9,15,"C","1"
"13","Grant Long","ATL",1996,29,82,36.7,1,0.36,0.49,0.763,2.2,1.9,2.8,16.2,0.402,0.221,0.019,0.009,0.137,0.171,3.8,1.3,2.7,28.1,109.4,0.302,0.512,0.34,0.217,82,240.6,81.3,0.355,0.757,26.2,40.6,19.6,9.4,3.9,15,"PF","1"
"14","Christian Laettner","ATL",1998,28,74,30.8,0.4,0.222,0.489,0.864,2.6,2.5,3.3,18.5,0.485,0.172,0.017,0.022,0.171,0.217,3,1.3,2.6,29.4,108.2,0.364,0.468,0.339,0.194,82,242.4,77.5,0.332,0.756,29.5,43,19.1,8,6,14.8,"PF","1"
"15","Grant Long","ATL",1999,32,50,27.6,0.4,0.167,0.425,0.783,1.1,1.5,2.9,15.6,0.655,0.165,0.023,0.009,0.138,0.183,2.6,2,1.4,29.6,100.5,0.378,0.437,0.331,0.202,50,241.5,75.2,0.306,0.731,30,43.5,15.6,6.9,5.2,14.9,"PF","0"
"16","Mookie Blaylock","ATL",1999,31,48,36.7,5.2,0.307,0.439,0.758,5.8,2.4,1.3,16.7,0.14,0.118,0.032,0.004,0.143,0.215,3.2,2,3.1,29.6,100.5,0.378,0.437,0.331,0.202,50,241.5,75.2,0.306,0.731,30,43.5,15.6,6.9,5.2,14.9,"PG","0"
"17","Steve Smith","ATL",1999,29,36,36.5,3.9,0.338,0.445,0.849,3.3,2.8,2.8,17.9,0.417,0.089,0.015,0.006,0.134,0.264,1.7,-0.2,1.7,29.6,100.5,0.378,0.437,0.331,0.202,50,241.5,75.2,0.306,0.731,30,43.5,15.6,6.9,5.2,14.9,"SG","0"
"18","Dikembe Mutombo","ATL",2001,34,49,35,0,0,0.477,0.695,1.1,1.9,2.8,16.5,0.435,0.33,0.006,0.057,0.179,0.134,3,3.4,1.3,26.1,98.7,0.272,0.472,0.289,0.249,82,240.6,81.3,0.357,0.759,30.4,42.9,19,7.7,4.7,16.7,"C","1"
"19","Rasheed Wallace","ATL",2004,29,1,42,6,0.167,0.354,1,2,3,0,13.7,0.125,0.133,0.013,0.088,0.106,0.307,0,-0.3,0,26.2,101,0.303,0.476,0.286,0.234,82,242.7,79.6,0.335,0.776,30.6,42.7,20.1,7.6,5,16.5,"PF","0"
"20","Jason Terry","ATL",2004,26,81,37.3,5.2,0.347,0.478,0.827,5.4,2.8,2.4,16.2,0.217,0.106,0.022,0.004,0.149,0.232,1.5,-1.5,2.2,26.2,101,0.303,0.476,0.286,0.234,82,242.7,79.6,0.335,0.776,30.6,42.7,20.1,7.6,5,16.5,"PG","0"
"21","Shareef Abdur-Rahim","ATL",2004,27,53,36.9,0.4,0.217,0.488,0.88,2.4,2.5,2.8,21.2,0.423,0.203,0.012,0.007,0.123,0.248,1.3,-1.1,1.5,26.2,101,0.303,0.476,0.286,0.234,82,242.7,79.6,0.335,0.776,30.6,42.7,20.1,7.6,5,16.5,"PF","0"
"22","Tom Gugliotta","ATL",2005,35,27,27.7,1,0.308,0.451,0.784,2.1,1.8,3,11.1,0.181,0.175,0.022,0.013,0.179,0.161,0.5,0.5,0,26,100.6,0.299,0.513,0.307,0.289,82,242.1,81.4,0.312,0.711,28.5,41.9,19.7,7.7,4.2,16.1,"PF","1"
"23","Josh Childress","ATL",2008,24,76,29.9,0.8,0.367,0.59,0.807,1.5,1.3,1.7,17.8,0.48,0.102,0.016,0.014,0.124,0.158,1.5,0,2.5,24.2,106.9,0.34,0.501,0.297,0.217,82,242.1,79.9,0.356,0.772,29.9,42.2,22,7.3,5.5,14.9,"SF","1"
"24","Jamal Crawford","ATL",2011,30,76,30.2,4.6,0.341,0.489,0.854,3.2,1.9,1.3,14.2,0.297,0.056,0.013,0.005,0.128,0.234,1.4,-2.7,0,27.4,106.1,0.269,0.495,0.234,0.211,82,240.6,78.4,0.352,0.779,30,39.3,22,6.1,4.2,13.6,"SG","1"
"25","Kirk Hinrich","ATL",2011,30,24,28.6,3.2,0.421,0.519,0.667,3.3,1.5,2.8,9.8,0.114,0.08,0.015,0.008,0.16,0.16,0.5,-0.9,0,27.4,106.1,0.269,0.495,0.234,0.211,82,240.6,78.4,0.352,0.779,30,39.3,22,6.1,4.2,13.6,"PG","1"
"26","Joe Johnson","ATL",2012,30,60,35.5,5.4,0.388,0.521,0.849,3.9,1.9,1.3,18.4,0.2,0.092,0.012,0.005,0.103,0.249,2.1,-1.4,2.2,27.9,104.9,0.259,0.48,0.239,0.186,66,244.9,81,0.37,0.74,31.3,41.2,22.4,8.1,4.6,14,"SG","0"
"27","Kirk Hinrich","ATL",2012,31,48,25.8,2.8,0.346,0.493,0.781,2.8,1.2,2.1,9.2,0.108,0.085,0.016,0.007,0.158,0.139,1.4,-0.1,0.2,27.9,104.9,0.259,0.48,0.239,0.186,66,244.9,81,0.37,0.74,31.3,41.2,22.4,8.1,4.6,14,"SG","0"
"28","Josh Smith","ATL",2013,27,76,35.3,2.6,0.303,0.491,0.517,4.2,3,2.3,17.7,0.272,0.213,0.018,0.039,0.146,0.267,4.5,3.2,2.8,27.1,104.8,0.244,0.496,0.222,0.181,82,242.1,81,0.371,0.715,31.6,40.9,24.5,8.1,4.5,14.9,"PF","0"
"29","Devin Harris","ATL",2013,29,58,24.5,4,0.335,0.525,0.727,3.4,1.5,1.8,14.6,0.348,0.087,0.023,0.007,0.147,0.195,1.5,-0.9,0.7,27.1,104.8,0.244,0.496,0.222,0.181,82,242.1,81,0.371,0.715,31.6,40.9,24.5,8.1,4.5,14.9,"SG","0"
"30","Lou Williams","ATL",2014,27,60,24.1,3.9,0.342,0.48,0.849,3.5,1.5,1.1,14.2,0.363,0.091,0.016,0.002,0.139,0.209,1,-2.1,0.1,27.5,105.9,0.266,0.51,0.21,0.196,82,241.8,81.6,0.363,0.781,31.3,40,24.9,8.3,4,15.3,"PG","1"
"31","Al Horford","ATL",2016,29,82,32.1,3.1,0.344,0.547,0.798,3.2,1.3,2,19.4,0.123,0.182,0.013,0.036,0.088,0.206,4.5,2.6,4.1,28.2,105.1,0.237,0.48,0.191,0.194,82,241.8,84.4,0.35,0.783,33.8,42.1,25.6,9.1,5.9,15,"C","0"
"32","Jeff Teague","ATL",2016,27,79,28.5,3.5,0.4,0.495,0.837,5.9,2.8,2.1,17.9,0.316,0.086,0.021,0.008,0.162,0.266,3,-0.9,1.3,28.2,105.1,0.237,0.48,0.191,0.194,82,241.8,84.4,0.35,0.783,33.8,42.1,25.6,9.1,5.9,15,"PG","0"
"33","Dwight Howard","ATL",2017,31,74,29.7,0,0,0.633,0.533,1.4,2.3,2.7,20.8,0.692,0.317,0.014,0.036,0.175,0.192,4.5,2.8,2.4,27.9,104.9,0.295,0.507,0.236,0.179,82,242.4,84.4,0.341,0.728,34.1,44.3,23.6,8.2,4.8,15.8,"C","0"
"34","Paul Millsap","ATL",2017,31,69,34,3.5,0.311,0.481,0.768,3.7,2.3,2.7,17.8,0.417,0.195,0.019,0.023,0.121,0.244,3.8,2.1,2.7,27.9,104.9,0.295,0.507,0.236,0.179,82,242.4,84.4,0.341,0.728,34.1,44.3,23.6,8.2,4.8,15.8,"PF","0"
"35","Tim Hardaway","ATL",2017,24,79,27.3,5.3,0.357,0.537,0.766,2.3,1.3,1.3,15.2,0.235,0.095,0.013,0.006,0.095,0.225,2.1,-1.5,0.9,27.9,104.9,0.295,0.507,0.236,0.179,82,242.4,84.4,0.341,0.728,34.1,44.3,23.6,8.2,4.8,15.8,"SG","0"
"36","Ersan Ilyasova","ATL",2017,29,26,24.3,3.5,0.348,0.482,0.8,1.7,1.3,2.8,13.5,0.288,0.187,0.017,0.011,0.118,0.199,0.9,0.5,0.3,27.9,104.9,0.295,0.507,0.236,0.179,82,242.4,84.4,0.341,0.728,34.1,44.3,23.6,8.2,4.8,15.8,"PF","0"
"37","Cedric Maxwell","BOS",1985,29,57,26.2,0,0,0.533,0.831,1.8,1.7,2.5,14.2,0.737,0.102,0.011,0.005,0.164,0.163,1.4,-0.3,1,28.5,112.8,0.315,0.481,0.328,0.198,82,240.3,89.3,0.356,0.806,32.1,45.7,27.9,7.9,5,16.2,"SF","1"
"38","Robert Parish","BOS",1994,40,74,26.9,0,0,0.491,0.74,1.1,1.5,2.6,16.1,0.287,0.229,0.011,0.03,0.117,0.202,2.1,0.4,0.4,27.8,104.2,0.284,0.494,0.293,0.238,82,242.7,86.1,0.289,0.73,29,41.7,23.5,8.2,5.4,15.1,"C","1"
"39","Dominique Wilkins","BOS",1995,35,77,31.5,3.8,0.388,0.472,0.782,2.2,2.2,1.7,16.3,0.291,0.118,0.013,0.004,0.116,0.266,1.3,-1.9,0.9,27.2,108.6,0.331,0.512,0.331,0.235,82,241.5,83.5,0.368,0.753,28.3,42.4,21.7,7.5,4.4,15.9,"SF","0"
"40","David Wesley","BOS",1997,26,74,40.4,3.9,0.36,0.521,0.781,7.3,2.9,3,16.5,0.296,0.082,0.027,0.003,0.161,0.188,1.1,-1.5,2.2,26.1,103.9,0.316,0.539,0.294,0.243,82,242.7,85,0.351,0.75,26.7,40,21.9,9.9,3.8,16.4,"PG","1"
"41","Chauncey Billups","BOS",1998,21,51,25.4,3.7,0.339,0.46,0.817,4.3,2.3,2.3,15.4,0.396,0.073,0.031,0.001,0.181,0.217,1,-1.9,0.5,23.9,102.6,0.283,0.504,0.328,0.343,82,240.6,84.6,0.332,0.726,24.9,39.5,22.1,12,4.5,16.2,"PG","0"
"42","Kenny Anderson","BOS",1998,27,16,24.1,1.7,0.37,0.469,0.837,6.3,1.8,2.3,20.4,0.333,0.12,0.035,0,0.147,0.221,0.4,-2,0.2,23.9,102.6,0.283,0.504,0.328,0.343,82,240.6,84.6,0.332,0.726,24.9,39.5,22.1,12,4.5,16.2,"PG","0"
"43","Kenny Anderson","BOS",2002,31,76,32,0.4,0.273,0.442,0.742,5.3,1.6,2.8,13.6,0.184,0.101,0.03,0.003,0.133,0.167,3.5,1.1,1,26.2,103.4,0.291,0.464,0.241,0.245,82,241.8,82.1,0.359,0.764,31.3,42.2,21,9.7,3.6,13.6,"PG","0"
"44","Vin Baker","BOS",2004,32,37,27,0,0,0.505,0.732,1.5,1.4,2.6,16.1,0.336,0.15,0.011,0.018,0.12,0.197,0.8,-0.4,0.3,26.4,102.1,0.327,0.479,0.252,0.24,82,240.3,78.2,0.346,0.75,29.8,40.1,20.5,9.4,4,16.2,"PF","1"
"45","Gary Payton","BOS",2005,36,77,33,1.7,0.326,0.497,0.761,6.1,1.9,1.6,15.1,0.277,0.085,0.018,0.004,0.154,0.17,1.6,-1.3,1.1,27.1,107.5,0.357,0.481,0.272,0.274,82,242.4,79.4,0.349,0.764,29.7,40.8,22.1,8.1,5.2,15.8,"PG","0"
"46","Raef LaFrentz","BOS",2006,29,82,24.8,3.5,0.392,0.533,0.68,1.4,0.8,3.3,12,0.136,0.191,0.007,0.027,0.1,0.147,2,0.3,1.2,25.3,105.2,0.349,0.49,0.255,0.282,82,242.4,77.1,0.362,0.755,29.7,39.6,20.9,7,5.1,16.6,"PF","0"
"47","Al Jefferson","BOS",2007,22,69,33.6,0,0,0.514,0.681,1.3,2,3.4,19.8,0.334,0.274,0.011,0.035,0.118,0.224,3.3,1,1.5,23.5,103.2,0.337,0.502,0.27,0.28,82,242.1,78.7,0.367,0.767,29.2,40.4,19.9,7.2,4.7,16.5,"C","1"
"48","James Posey","BOS",2008,31,74,24.6,3.8,0.38,0.546,0.809,1.5,0.9,2.5,12,0.278,0.18,0.021,0.009,0.123,0.135,4,2.4,2.3,27.9,110.2,0.346,0.457,0.266,0.253,82,240.9,76.7,0.381,0.771,31.9,42,22.4,8.5,4.6,15.2,"PF","0"
"49","Ray Allen","BOS",2012,36,46,34,5.1,0.453,0.566,0.915,2.4,1.5,1.8,14.8,0.215,0.092,0.017,0.004,0.112,0.186,2.2,0.3,1.8,29.3,101,0.257,0.452,0.197,0.216,66,241.5,77.1,0.367,0.778,31.1,38.8,23.6,7.5,5.5,14.8,"SG","0"
"50","Paul Pierce","BOS",2013,35,77,33.4,5,0.38,0.502,0.787,4.8,2.8,2.7,19.1,0.387,0.197,0.017,0.009,0.143,0.274,3.7,0.7,3.4,29.1,103.1,0.263,0.482,0.201,0.216,81,244.9,79.7,0.358,0.776,31.3,39.3,22.8,8.2,4.5,14.6,"SF","0"
"51","Jason Terry","BOS",2013,35,79,26.9,4.2,0.372,0.529,0.87,2.5,1.3,1.4,12.8,0.202,0.076,0.016,0.004,0.126,0.18,1.9,-1.3,0.7,29.1,103.1,0.263,0.482,0.201,0.216,81,244.9,79.7,0.358,0.776,31.3,39.3,22.8,8.2,4.5,14.6,"SG","0"
"52","Kevin Garnett","BOS",2013,36,68,29.7,0.2,0.125,0.498,0.786,2.3,1.6,2.3,19.2,0.236,0.258,0.02,0.024,0.105,0.245,3.8,2.3,1.5,29.1,103.1,0.263,0.482,0.201,0.216,81,244.9,79.7,0.358,0.776,31.3,39.3,22.8,8.2,4.5,14.6,"C","0"
"53","Isaiah Thomas","BOS",2015,25,21,26,6.6,0.345,0.495,0.861,5.4,2.6,2.1,22.3,0.481,0.075,0.011,0,0.135,0.321,0.3,-3.9,0.6,25,104.7,0.233,0.494,0.247,0.208,82,242.4,87.9,0.327,0.754,32.7,43.8,24.5,8.2,3.6,13.8,"PG","1"
"54","Rajon Rondo","BOS",2015,28,22,31.8,1.5,0.25,0.425,0.333,10.8,3.4,1.9,15.4,0.18,0.223,0.027,0.003,0.258,0.182,1.1,2.1,0.4,25,104.7,0.233,0.494,0.247,0.208,82,242.4,87.9,0.327,0.754,32.7,43.8,24.5,8.2,3.6,13.8,"PG","1"
"55","Isaiah Thomas","BOS",2017,27,76,33.8,8.5,0.379,0.546,0.909,5.9,2.8,2.2,26.5,0.441,0.07,0.014,0.004,0.107,0.34,1.6,-3.3,4.8,25.9,111.2,0.273,0.503,0.212,0.223,82,240.9,85.1,0.359,0.807,32.9,42,25.2,7.5,4.1,13.3,"PG","1"
"56","Calvin Natt","BRK",1980,23,53,38.6,0.1,0.2,0.48,0.711,2.1,2.5,2.8,15.9,0.319,0.172,0.017,0.006,0.117,0.214,2.8,0.2,1.2,26.1,101.5,0.321,0.472,0.321,0.263,82,241.5,91.5,0.285,0.782,30.9,45.9,25.5,10.6,7.1,20.8,"SF","0"
"57","Maurice Lucas","BRK",1980,27,22,32.2,0.2,0,0.49,0.775,3.8,3.2,3.7,16.4,0.391,0.226,0.012,0.021,0.186,0.205,1.1,1.8,0.6,26.1,101.5,0.321,0.472,0.321,0.263,82,241.5,91.5,0.285,0.782,30.9,45.9,25.5,10.6,7.1,20.8,"PF","0"
"58","Mike Newlin","BRK",1981,32,79,36.8,0.4,0.333,0.501,0.888,3.8,3.1,3,15.6,0.366,0.056,0.014,0.002,0.144,0.234,1.3,-2.1,1,25.2,101,0.324,0.506,0.304,0.281,82,241.5,89.2,0.246,0.751,29,42.3,25.2,9.1,5.6,20.3,"SG","1"
"59","Maurice Lucas","BRK",1981,28,68,31.8,0,0,0.484,0.752,2.5,2.6,3.8,14.6,0.304,0.225,0.012,0.015,0.157,0.205,2.3,0.7,0.9,25.2,101,0.324,0.506,0.304,0.281,82,241.5,89.2,0.246,0.751,29,42.3,25.2,9.1,5.6,20.3,"PF","1"
"60","Micheal Ray Richardson","BRK",1983,27,31,32.3,0.6,0.2,0.443,0.671,6,3.5,3.7,14.2,0.196,0.091,0.037,0.009,0.202,0.207,1.9,2.7,1.2,25.2,101.6,0.322,0.481,0.368,0.251,82,240.3,87.1,0.201,0.705,29.6,45,26.1,11.1,7.2,22.8,"PG","0"
"61","Mike Gminski","BRK",1988,28,34,35.1,0.1,0,0.454,0.861,1.6,2.4,2.3,15.8,0.35,0.239,0.011,0.017,0.132,0.223,1.3,-0.1,-0.1,26.7,101.4,0.337,0.506,0.304,0.274,82,241.2,83.6,0.301,0.729,27.6,40.7,21.9,8.9,4.7,18.3,"C","1"
"62","Orlando Woolridge","BRK",1988,28,19,32.7,0.1,0,0.445,0.708,3.7,2.5,3.8,14.5,0.526,0.116,0.01,0.019,0.136,0.239,0.4,-0.5,0.1,26.7,101.4,0.337,0.506,0.304,0.274,82,241.2,83.6,0.301,0.729,27.6,40.7,21.9,8.9,4.7,18.3,"SF","1"
"63","Otis Birdsong","BRK",1988,32,67,28.1,0.4,0.36,0.464,0.511,3.3,1.9,2.1,10.4,0.125,0.06,0.014,0.004,0.142,0.203,0.8,-1.5,-0.8,26.7,101.4,0.337,0.506,0.304,0.274,82,241.2,83.6,0.301,0.729,27.6,40.7,21.9,8.9,4.7,18.3,"SG","1"
"64","Roy Hinson","BRK",1988,26,48,36.4,0,0,0.502,0.806,1.5,2.2,3.9,15.6,0.345,0.166,0.013,0.025,0.123,0.209,1.6,0.4,0.8,26.7,101.4,0.337,0.506,0.304,0.274,82,241.2,83.6,0.301,0.729,27.6,40.7,21.9,8.9,4.7,18.3,"SF","1"
"65","Buck Williams","BRK",1989,28,74,33.1,0,0,0.531,0.666,1.1,1.9,3,14.6,0.456,0.21,0.012,0.009,0.144,0.165,2.1,0.2,1,26.8,103,0.313,0.508,0.327,0.244,82,241.5,88.1,0.329,0.731,29.5,44.2,21.9,9.4,5.3,17.7,"PF","0"
"66","Mookie Blaylock","BRK",1992,24,72,35.4,0.8,0.222,0.438,0.712,6.8,2.1,2.5,15.2,0.178,0.072,0.033,0.009,0.124,0.193,2.6,0.5,1.9,25.6,107,0.265,0.488,0.391,0.247,82,241.2,92.4,0.334,0.732,29.2,47.6,23.6,9,7.5,17,"PG","1"
"67","Sam Bowie","BRK",1993,31,79,26.5,0.1,0.333,0.451,0.779,1.6,1.5,2.9,13.2,0.284,0.209,0.008,0.038,0.143,0.168,3.3,2.5,1,27.3,106.5,0.319,0.48,0.355,0.24,82,241.2,86.4,0.318,0.767,30.6,46.3,22.8,8.5,6.4,16.5,"C","1"
"68","Derrick Coleman","BRK",1995,27,56,37.6,2.1,0.233,0.44,0.767,3.3,3.1,2.9,19,0.56,0.221,0.009,0.031,0.136,0.264,2.7,1.5,2.2,27.5,105.2,0.342,0.493,0.333,0.217,82,242.4,82.2,0.319,0.759,31.3,46.1,23,6.6,6.7,15.9,"PF","1"
"69","Benoit Benjamin","BRK",1995,30,61,26.2,0,0,0.51,0.76,0.6,2,2.5,13.9,0.33,0.237,0.007,0.028,0.171,0.201,2.1,0,-0.9,27.5,105.2,0.342,0.493,0.333,0.217,82,242.4,82.2,0.319,0.759,31.3,46.1,23,6.6,6.7,15.9,"C","1"
"70","P.J. Brown","BRK",1996,26,81,36.3,0.2,0.2,0.445,0.77,2,1.6,3.1,12.6,0.332,0.132,0.014,0.026,0.127,0.156,3.3,2.3,2.4,27.4,101.9,0.332,0.495,0.364,0.223,82,242.7,82.3,0.335,0.745,30.5,47,21.4,7.6,7,16.8,"C","0"
"71","Kenny Anderson","BRK",1996,25,31,33.6,3.2,0.364,0.424,0.803,8,1.9,2.4,19.8,0.495,0.069,0.026,0.006,0.111,0.218,1,-1,1.4,27.4,101.9,0.332,0.495,0.364,0.223,82,242.7,82.3,0.335,0.745,30.5,47,21.4,7.6,7,16.8,"PG","0"
"72","Kendall Gill","BRK",1996,27,11,38,2.3,0.36,0.47,0.831,3.2,1.9,2.7,16.2,0.388,0.073,0.028,0.004,0.106,0.208,0.4,0.1,0.4,27.4,101.9,0.332,0.495,0.364,0.223,82,242.7,82.3,0.335,0.745,30.5,47,21.4,7.6,7,16.8,"SG","0"
"73","Armen Gilliam","BRK",1996,31,78,36.6,0,0,0.474,0.791,1.8,2.3,2.3,17.6,0.288,0.186,0.013,0.014,0.114,0.237,3.4,0.4,1.7,27.4,101.9,0.332,0.495,0.364,0.223,82,242.7,82.3,0.335,0.745,30.5,47,21.4,7.6,7,16.8,"SF","0"
"74","Sam Cassell","BRK",1997,27,23,33.8,5.2,0.392,0.505,0.831,6.5,2.9,3.7,19.7,0.204,0.09,0.025,0.007,0.14,0.262,0.4,-1.9,0.9,26.8,104.7,0.286,0.503,0.364,0.244,82,241.2,86.5,0.353,0.74,29,46.2,21,8.3,5.9,15.7,"PG","1"
"75","Eric Murdock","BRK",1999,30,15,26.7,1.5,0.364,0.43,0.808,4.4,1.9,2.3,12.3,0.228,0.093,0.029,0.004,0.188,0.17,0.3,-1.1,-0.1,26,99.5,0.301,0.481,0.311,0.238,50,241,83.2,0.331,0.769,28.7,43,18.5,9.8,5.5,15,"PG","1"
"76","Stephon Marbury","BRK",1999,21,31,39.8,5.1,0.367,0.489,0.832,8.7,3.5,2.6,21.8,0.33,0.057,0.013,0.002,0.141,0.276,0.2,-4.3,1.3,26,99.5,0.301,0.481,0.311,0.238,50,241,83.2,0.331,0.769,28.7,43,18.5,9.8,5.5,15,"PG","1"
"77","Sam Cassell","BRK",1999,29,4,25,1.8,0.143,0.439,0.935,4.8,3,3.3,23.7,0.633,0.058,0.016,0,0.161,0.329,0,-5.3,0,26,99.5,0.301,0.481,0.311,0.238,50,241,83.2,0.331,0.769,28.7,43,18.5,9.8,5.5,15,"PG","1"
"78","Kendall Gill","BRK",2001,32,31,28.8,0.5,0.286,0.337,0.722,2.8,1.5,2.1,10.1,0.279,0.131,0.028,0.006,0.117,0.209,0.8,0.2,-0.3,27.5,100,0.328,0.488,0.257,0.258,82,240.6,79.9,0.333,0.759,28.5,39.6,19.5,7.9,5,14.7,"SG","1"
"79","Stephon Marbury","BRK",2001,23,67,38.2,5,0.328,0.484,0.79,7.6,2.9,2.2,22.7,0.359,0.07,0.016,0.001,0.118,0.297,0.7,-3.4,3.7,27.5,100,0.328,0.488,0.257,0.258,82,240.6,79.9,0.333,0.759,28.5,39.6,19.5,7.9,5,14.7,"PG","1"
"80","Kerry Kittles","BRK",2004,29,82,34.7,3.4,0.351,0.503,0.787,2.5,1.2,1.8,14.7,0.142,0.112,0.024,0.011,0.085,0.184,4.5,1,2.5,27.7,100.8,0.291,0.46,0.259,0.221,82,240.3,77.7,0.336,0.753,30.2,40.7,24.5,8.6,3.9,14.7,"SG","0"
"81","Alonzo Mourning","BRK",2005,34,18,25.4,0,0,0.453,0.593,0.8,2.5,2.8,13.5,0.573,0.256,0.006,0.074,0.193,0.239,0.9,2.3,-0.3,27.8,101.4,0.318,0.479,0.255,0.278,82,242.7,78.3,0.362,0.763,29.1,39.5,21.6,7.9,3.8,14.2,"PF","1"
"82","Vince Carter","BRK",2005,28,57,38.9,4.5,0.425,0.505,0.817,4.7,2.6,3.3,24.5,0.313,0.141,0.02,0.012,0.094,0.329,3.1,0.3,4.8,27.8,101.4,0.318,0.479,0.255,0.278,82,242.7,78.3,0.362,0.763,29.1,39.5,21.6,7.9,3.8,14.2,"SF","1"
"83","Devin Harris","BRK",2008,24,25,33.5,3.9,0.32,0.489,0.829,6.5,2.7,2.5,16.7,0.343,0.098,0.021,0.007,0.162,0.23,0.6,-1.6,0.5,27.4,104,0.347,0.497,0.266,0.271,82,241.8,78.7,0.348,0.736,30.7,41.9,23.5,6.4,4.8,15,"PG","1"
"84","Richard Jefferson","BRK",2008,27,82,39,2.6,0.362,0.495,0.798,3.1,2.4,2.7,17.4,0.511,0.09,0.012,0.005,0.109,0.261,1.5,-2,1.6,27.4,104,0.347,0.497,0.266,0.271,82,241.8,78.7,0.348,0.736,30.7,41.9,23.5,6.4,4.8,15,"SF","1"
