"","Team","Rk.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","3PAr","TS%","eFG%","TOV%","ORB%","FT/FGA","DRB%","Arena","Attend.","Attend./G","Rk.y","G","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","i"
"267","Seattle SuperSonics","12","25.6","41","41","44","38","1.04","0.36","1.40","110.9","109.8","95.3",".299",".090",".535",".499","14.3","37.5",".297","69.1","Seattle Center Coliseum","473,277","",14,82,242.7,42.3,88.3,0.479,2.8,7.9,0.355,39.5,80.4,0.491,19.6,26.4,0.741,16.1,27.5,43.6,22.9,8.5,4.1,16.3,25.2,106.9,1990
"268","Utah Jazz*","5","27.6","55","27","54","28","4.79","0.03","4.82","110.3","105.4","96.1",".377",".096",".570",".468","13.4","30.1",".268","69.5","Salt Palace","517,256","",15,82,241.8,40.6,80.4,0.505,2.8,7.7,0.359,37.9,72.7,0.521,22.9,30.3,0.754,11.6,30.5,42.1,27,8.3,6,17.2,24.8,106.8,1990
"269","Washington Bullets","19","27.5","31","51","35","47","-2.16","-0.27","-2.43","107.5","109.7","99.4",".276",".026",".519",".484","12.4","32.4",".249","67.2","Capital Centre","458,332","",13,82,241.8,43.9,92.5,0.475,0.5,2.4,0.188,43.4,90,0.482,19.5,25.5,0.764,14.6,29.9,44.5,27,6.8,5.2,14.6,23.5,107.7,1990
"270","Atlanta Hawks*","13","29.0","43","39","43","39","0.77","-0.05","0.72","110.9","110.1","98.6",".352",".116",".540",".509","13.7","33.1",".220","69.1","Omni Coliseum","529,161","",8,82,240.9,40.8,88.1,0.464,3.3,10.2,0.324,37.5,77.9,0.482,24.8,31,0.8,15.1,29.5,44.6,22.7,8.9,4.6,15,21.6,109.8,1991
"271","Boston Celtics*","5","28.2","56","26","56","26","5.82","-0.60","5.22","112.6","106.7","98.5",".277",".048",".565",".465","11.7","33.0",".217","69.3","Boston Garden","611,537","",6,82,241.5,45.1,88,0.512,1.3,4.2,0.315,43.7,83.8,0.522,20.1,24.4,0.824,13.3,32.9,46.2,26.3,8.2,6.9,16.1,20.7,111.5,1991
"272","Charlotte Hornets","24","25.5","26","56","27","55","-5.24","0.30","-4.95","105.0","110.4","97.3",".315",".059",".526",".504","15.0","29.0",".272","65.7","Charlotte Coliseum","978,141","",20,82,241.5,40.1,85.8,0.467,1.6,5.1,0.314,38.5,80.7,0.477,21,27,0.779,12.5,26.8,39.4,24.6,9.3,3.7,15.7,23.7,102.8,1991
"273","Chicago Bulls*","1","26.9","61","21","63","19","9.10","-0.53","8.57","114.6","105.2","95.6",".296",".060",".560",".488","15.3","34.7",".226","68.8","Chicago Stadium","757,745","",7,82,240.9,44.3,86.9,0.51,1.9,5.2,0.366,42.4,81.7,0.519,19.6,25.7,0.76,14,28.6,42.6,27,10,5.3,14.4,21.4,110,1991
"274","Cleveland Cavaliers","17","26.8","33","49","34","48","-2.46","0.14","-2.33","106.1","108.7","95.1",".317",".070",".534",".497","13.3","29.7",".206","68.0","Coliseum at Richfield","623,735","",22,82,241.8,39.7,83.6,0.475,2,5.8,0.334,37.8,77.8,0.486,20.3,26.5,0.765,12.3,28.4,40.7,27.3,7.8,5.5,15.6,20.4,101.7,1991
"275","Dallas Mavericks","21","30.6","28","54","29","53","-4.57","0.31","-4.27","105.5","110.3","94.2",".288",".087",".528",".495","12.6","28.3",".245","67.9","Reunion Arena","683,927","",25,82,241.5,39.6,84,0.471,2.4,7.3,0.322,37.2,76.7,0.485,18.4,24.2,0.761,12,28.8,40.8,22.2,7.1,4.8,14.5,22.4,99.9,1991
"276","Denver Nuggets","27","26.5","20","62","19","63","-10.91","0.60","-10.31","105.2","114.7","113.7",".255",".119",".498",".524","14.1","33.1",".299","67.1","McNichols Sports Arena","438,103","",1,82,240.6,47.6,108.1,0.44,3.7,12.9,0.283,43.9,95.2,0.461,21,27.6,0.763,18.5,30.9,49.4,24.5,10.4,5,16.2,27.3,119.9,1991
"277","Detroit Pistons*","9","30.5","50","32","50","32","3.27","-0.19","3.08","108.2","104.6","91.9",".322",".064",".523",".464","12.8","34.7",".248","71.0","The Palace of Auburn Hills","879,614","",24,82,241.5,39,83.8,0.465,1.6,5.4,0.298,37.4,78.5,0.476,20.6,27,0.763,14.7,29.9,44.6,22.3,5.9,4.5,14.4,22.8,100.1,1991
"278","Golden State Warriors*","11","26.5","44","38","45","37","1.63","0.09","1.72","111.9","110.3","103.6",".376",".109",".559",".497","15.2","31.0",".289","64.1","Oakland-Alameda County Coliseum Arena","616,025","",2,82,241.5,43.5,89.6,0.485,3.3,9.8,0.337,40.2,79.8,0.504,26.4,33.7,0.783,13.6,28.1,41.7,23.8,9.8,4.6,16.6,26.9,116.6,1991
"279","Houston Rockets*","7","27.3","52","30","50","32","3.50","-0.23","3.27","107.4","103.9","98.5",".302",".136",".530",".469","14.7","34.4",".220","66.9","The Summit","613,230","",10,82,242.1,41.5,88.9,0.467,3.9,12.1,0.32,37.6,76.8,0.49,19.9,26.8,0.741,15.5,30.6,46.1,23.2,9.7,5,17.1,22.9,106.7,1991
"280","Indiana Pacers*","14","26.4","41","41","40","42","-0.39","0.02","-0.37","111.7","112.1","99.4",".354",".107",".566",".503","13.1","30.6",".254","66.4","Market Square Arena","465,650","",5,82,241.5,42.1,85.3,0.493,3,9.1,0.332,39,76.2,0.513,24.5,30.2,0.811,12.4,29,41.4,26.6,8,4.4,16.5,25.5,111.7,1991
"281","League Average","","27.2","","","41","41","0.00","0.00","0.00","107.9","107.9","97.8",".320",".082",".534",".487","13.9","32.3",".245","67.7","","621,283","",NA,82,241.8,41.4,87.2,0.474,2.3,7.1,0.32,39.1,80.1,0.488,21.3,27.9,0.765,14,29.3,43.3,24.7,8.6,5.3,16,23.2,106.3,1991
"282","Los Angeles Clippers","18","25.1","31","51","32","50","-3.45","0.29","-3.16","103.0","106.5","99.9",".311",".059",".511",".481","13.7","33.3",".266","69.2","Los Angeles Memorial Sports Arena","522,111","",17,82,241.5,41.4,89.2,0.464,1.4,5.3,0.26,40,83.9,0.476,19.5,27.7,0.702,15.2,30.5,45.7,25.8,8.8,6.2,17.5,24.9,103.5,1991
"283","Los Angeles Lakers*","3","28.4","58","24","59","23","6.74","-0.01","6.73","112.1","105.0","94.1",".327",".108",".551",".474","12.8","33.0",".176","68.3","Great Western Forum","682,024","",13,82,241.8,40.8,84.3,0.484,2.8,9.1,0.304,38,75.2,0.505,22,27.6,0.798,13.1,29.8,42.9,25.5,7.8,4.7,14.7,18.6,106.3,1991
"284","Miami Heat","25","24.0","24","58","25","57","-5.99","0.08","-5.91","102.0","108.1","99.3",".323",".065",".512",".491","15.3","34.3",".286","66.2","Miami Arena","615,328","",21,82,241.2,40,87.1,0.459,1.7,5.7,0.302,38.3,81.4,0.47,20.1,28.1,0.715,15,28.1,43.1,23.2,9.2,4.7,18.9,25.4,101.8,1991
"285","Milwaukee Bucks*","10","29.3","48","34","48","34","2.48","-0.15","2.33","109.7","107.2","96.1",".323",".108",".550",".500","16.4","31.8",".259","66.1","Bradley Center","673,687","",12,82,242.1,40.7,84.7,0.48,3.1,9.2,0.341,37.6,75.5,0.497,21.9,27.3,0.801,13.2,26.4,39.5,25.3,10.9,4,16.1,24.8,106.4,1991
"286","Minnesota Timberwolves","19","26.2","29","53","30","52","-3.93","0.18","-3.75","106.7","110.9","92.3",".286",".052",".499",".502","13.8","34.9",".248","65.9","Target Center","779,530","",26,82,242.7,39.8,88.7,0.449,1.3,4.6,0.283,38.5,84.1,0.458,18.7,25.4,0.735,15.5,25.8,41.3,23,8.7,5.4,13,22.7,99.6,1991
"287","New Jersey Nets","22","26.2","26","56","29","53","-4.51","-0.02","-4.53","102.9","107.4","99.3",".301",".079",".500",".478","14.9","35.7",".267","64.6","Brendan Byrne Arena","480,786","",19,82,241.8,40.4,91,0.444,2,7.1,0.275,38.4,83.8,0.458,20.2,27.4,0.739,17.1,28.6,45.7,21.7,9.1,7.3,17.4,23.8,102.9,1991
"288","New York Knicks*","16","28.1","39","43","40","42","-0.23","-0.20","-0.43","107.1","107.3","95.0",".315",".082",".544",".489","13.4","31.1",".205","68.5","Madison Square Garden (IV)","654,962","",18,82,243.4,40.3,83.2,0.485,2.3,6.8,0.332,38.1,76.4,0.499,20.2,26.2,0.77,12.8,29.7,42.5,26.5,7.8,5.1,16.8,21.5,103.1,1991
"289","Orlando Magic","20","26.1","31","51","31","51","-3.98","0.18","-3.79","105.9","109.9","99.5",".337",".104",".521",".493","12.8","33.0",".260","68.9","Orlando Arena","617,668","",14,82,241.2,40.2,88.5,0.455,3.3,9.2,0.358,36.9,79.3,0.466,22.2,29.8,0.743,15,29.6,44.7,22.1,7.3,3.7,17,24.1,105.9,1991
"290","Philadelphia 76ers*","15","28.4","44","38","41","41","-0.18","-0.21","-0.39","107.9","108.1","95.7",".342",".089",".542",".489","12.5","28.1",".187","68.3","The Spectrum","624,582","",15,82,244.9,40.1,84.5,0.475,2.4,7.5,0.316,37.7,76.9,0.491,22.8,28.9,0.79,12,30.4,42.4,22.2,8.3,5.8,15,19.9,105.4,1991
"291","Phoenix Suns*","4","26.9","55","27","57","25","6.55","-0.06","6.49","112.6","106.1","101.0",".372",".060",".558",".474","13.1","33.0",".227","68.5","Arizona Veterans Memorial Coliseum","589,591","",4,82,240.6,43.6,87.8,0.496,1.7,5.3,0.319,41.9,82.5,0.508,25.2,32.7,0.77,13.8,31.7,45.5,26.9,8.4,6.5,15.9,22.6,114,1991
"292","Portland Trail Blazers*","2","27.9","63","19","62","20","8.68","-0.21","8.47","112.8","104.3","100.5",".344",".123",".554",".473","14.4","33.8",".250","70.4","Memorial Coliseum","528,244","",3,82,242.7,43.6,89.9,0.485,4.2,11,0.377,39.5,78.8,0.501,23.3,31,0.753,14.7,31.2,45.9,27.5,8.8,5,16,24.1,114.7,1991
"293","Sacramento Kings","26","25.9","25","57","23","59","-6.78","0.51","-6.27","102.0","109.1","94.7",".309",".085",".512",".481","14.3","28.8",".306","65.6","ARCO Arena (II)","697,604","",27,82,240.3,37.6,83.1,0.453,2.6,7,0.374,35,76.1,0.46,18.8,25.7,0.732,12.5,27,39.6,24.3,7.7,6.3,15.5,25.3,96.7,1991
"294","San Antonio Spurs*","6","26.0","55","27","53","29","4.51","-0.21","4.30","107.8","103.3","98.6",".352",".043",".544",".463","13.2","33.3",".228","70.3","HemisFair Arena","651,965","",9,82,241.8,41.6,85.2,0.488,1,3.6,0.273,40.6,81.6,0.497,23,30,0.766,13.8,32.4,46.2,26.1,8.2,7,17.6,23.1,107.1,1991
"295","Seattle SuperSonics*","12","26.2","41","41","44","38","1.23","0.08","1.31","109.7","108.5","96.2",".301",".060",".542",".503","16.0","36.3",".277","66.3","Seattle Center Coliseum","501,250","",11,82,242.4,42.7,86.8,0.492,1.7,5.2,0.319,41,81.6,0.503,19.6,26.1,0.75,14.9,26.5,41.4,24.9,10.5,4.6,17.1,24.1,106.6,1991
"296","Utah Jazz*","8","28.7","54","28","50","32","3.33","-0.15","3.18","108.6","105.1","95.3",".378",".070",".559",".473","13.7","27.6",".230","69.2","Salt Palace","514,751","",16,82,241.2,39.2,79.7,0.492,1.8,5.6,0.323,37.4,74.1,0.504,23.8,30.1,0.789,10.6,30.2,40.7,27,8,5.5,15.9,21.9,104,1991
"297","Washington Bullets","23","26.5","30","52","28","54","-4.98","0.14","-4.84","103.0","108.1","97.5",".279",".039",".509",".478","13.1","32.2",".242","66.0","Capital Centre","443,683","",23,82,242.1,41.3,88.6,0.466,0.7,3.5,0.194,40.7,85.2,0.478,18,24.7,0.729,14.3,29.1,43.5,25.4,7.2,5.7,16.6,23.5,101.4,1991
"298","Atlanta Hawks","15","27.2","38","44","37","45","-1.50","0.35","-1.15","107.3","108.9","97.8",".277",".090",".519",".497","13.2","33.6",".209","68.3","Omni Coliseum","511,803","",11,82,242.7,42.6,91.2,0.467,2.6,8.2,0.313,40,83,0.482,18.5,25.3,0.731,15.7,30.5,46.2,25.9,9.7,3.9,15.3,21.6,106.2,1992
"299","Boston Celtics*","8","29.2","51","31","51","31","3.62","-0.21","3.41","110.8","107.0","95.8",".266",".050",".544",".469","11.9","31.9",".220","68.7","Boston Garden","610,776","",9,82,241.2,43.2,87.8,0.492,1.3,4.4,0.306,41.9,83.4,0.502,18.9,23.4,0.808,13.4,31.5,44.9,25.3,7.8,5.9,14.2,20.6,106.6,1992
"300","Charlotte Hornets","20","25.2","31","51","31","51","-3.90","0.33","-3.57","107.1","110.9","101.7",".286",".049",".527",".510","14.1","31.1",".222","65.4","Charlotte Coliseum","971,618","",6,82,241.5,44.1,92.3,0.477,1.4,4.5,0.317,42.6,87.8,0.486,20,26.4,0.755,14.2,28.9,43.1,27.9,10,3.8,15.5,22.2,109.5,1992
"301","Chicago Bulls*","1","27.6","67","15","66","16","10.44","-0.37","10.07","115.5","104.5","94.4",".297",".063",".556",".476","14.1","35.1",".219","69.3","Chicago Stadium","759,980","",5,82,241.8,44.4,87.4,0.508,1.7,5.5,0.304,42.7,81.9,0.522,19.4,26,0.744,14.3,29.7,44,27.8,8.2,5.9,13.3,20.6,109.9,1992
"302","Cleveland Cavaliers*","5","27.6","57","25","55","27","5.45","-0.11","5.34","113.9","108.2","95.0",".322",".101",".557",".483","12.3","30.5",".174","66.5","Coliseum at Richfield","677,408","",7,82,241.5,41.8,85.7,0.488,3.1,8.6,0.357,38.7,77,0.502,22.2,27.5,0.805,12.7,29.9,42.6,27.6,7.5,7.6,13.1,19,108.9,1992
"303","Dallas Mavericks","26","28.2","22","60","21","61","-7.65","0.18","-7.47","103.0","111.1","94.4",".281",".112",".501",".483","11.5","31.2",".259","67.8","Reunion Arena","634,380","",27,82,240.9,38,86.6,0.439,3.3,9.7,0.336,34.8,76.9,0.452,18.3,24.4,0.75,14.6,29.7,44.3,19.9,6.5,4.3,14.7,22.8,97.6,1992
"304","Denver Nuggets","27","25.7","24","58","21","61","-7.87","0.28","-7.59","100.7","108.6","98.6",".280",".057",".493",".494","14.7","34.8",".279","68.0","McNichols Sports Arena","534,323","",25,82,241.2,39.8,90,0.442,1.5,5.1,0.301,38.2,84.9,0.45,18.6,25.2,0.738,16.5,28.7,45.1,18.9,9.4,5.6,17.6,24.2,99.7,1992
"305","Detroit Pistons*","10","30.1","48","34","47","35","2.04","0.01","2.06","107.5","105.3","91.6",".307",".077",".520",".468","12.5","34.9",".204","68.5","The Palace of Auburn Hills","879,614","",26,82,241.2,38.9,83.7,0.465,2,6.4,0.314,36.9,77.3,0.477,19.1,25.7,0.743,14.8,29.5,44.3,23.2,6.7,4.4,14.8,20.1,98.9,1992
"306","Golden State Warriors*","6","25.5","55","27","50","32","3.90","-0.14","3.77","113.6","109.9","103.4",".351",".103",".568",".499","14.9","31.8",".256","64.2","Oakland-Alameda County Coliseum Arena","616,025","",1,82,242.4,45.9,90.6,0.507,3.1,9.3,0.333,42.8,81.3,0.527,23.7,31.8,0.746,13.9,29,42.8,25.2,10.4,4.6,16.5,25,118.7,1992
"307","Houston Rockets","19","28.0","42","40","36","46","-1.72","-0.22","-1.94","106.2","108.0","95.1",".293",".139",".537",".477","12.5","30.9",".209","66.4","The Summit","592,790","",19,82,242.4,39.9,84.1,0.475,4,11.7,0.343,35.9,72.4,0.496,18.2,24.6,0.738,13.1,29.7,42.8,25.1,8,7,16.8,21.6,102,1992
"308","Indiana Pacers*","12","26.4","40","42","46","36","1.89","-0.04","1.85","111.7","109.9","99.0",".334",".133",".566",".483","12.8","31.8",".270","67.4","Market Square Arena","517,352","",2,82,243.4,42.7,86.3,0.494,4.1,11.5,0.354,38.6,74.9,0.516,22.8,28.8,0.79,13.2,31.3,44.5,29.2,8.6,4.8,17.1,26.1,112.2,1992
"309","League Average","","27.2","","","41","41","0.00","0.00","0.00","108.2","108.2","96.6",".305",".087",".531",".487","13.6","32.9",".232","67.1","","642,339","",NA,82,241.8,41.3,87.3,0.472,2.5,7.6,0.331,38.7,79.7,0.486,20.2,26.7,0.759,14.4,29.3,43.7,24.5,8.6,5.5,15.6,22.2,105.3,1992
"310","Los Angeles Clippers*","13","27.3","45","37","44","38","1.07","0.03","1.10","105.8","104.7","96.5",".314",".071",".524",".475","14.9","31.6",".244","67.5","Los Angeles Memorial Sports Arena","500,200","",17,82,241.8,40.8,86.3,0.473,1.8,6.1,0.289,39,80.2,0.487,19.5,27.1,0.72,13.8,29.2,43,25,10,6.1,15.5,22.8,102.9,1992
"311","Los Angeles Lakers*","14","28.3","43","39","38","44","-1.10","0.15","-0.95","107.7","108.9","92.5",".327",".064",".516",".493","13.8","32.7",".187","64.0","Great Western Forum","699,240","",24,82,241.8,38.8,85.1,0.456,1.5,5.4,0.267,37.4,79.7,0.469,21.3,27.8,0.766,14.1,26.8,40.9,22,9.2,4.9,13.3,18.8,100.4,1992
"312","Miami Heat*","21","24.4","38","44","30","52","-4.21","0.27","-3.94","106.7","110.9","97.7",".330",".106",".532",".508","13.9","33.0",".235","67.6","Miami Arena","613,583","",14,82,241.8,39.7,86.1,0.461,3.1,9.2,0.342,36.6,77,0.475,22.4,28.4,0.79,14.5,28.9,43.3,21.3,8.2,4.5,16.8,22.2,105,1992
"313","Milwaukee Bucks","17","30.2","31","51","36","46","-1.71","0.26","-1.46","108.8","110.6","95.5",".292",".139",".529",".514","15.3","35.9",".237","65.0","Bradley Center","635,515","",13,82,242.4,40.5,88,0.46,4.5,12.3,0.369,36,75.7,0.475,19.5,25.7,0.759,15.8,26.5,42.3,24.6,10.5,3.9,16.5,23.2,105,1992
"314","Minnesota Timberwolves","25","26.4","15","67","23","59","-7.05","0.20","-6.85","105.0","112.4","95.1",".253",".054",".505",".497","13.0","31.5",".244","62.3","Target Center","769,035","",23,82,241.5,41,89.5,0.458,1.5,4.8,0.32,39.5,84.7,0.466,16.8,22.6,0.743,14.2,26.4,40.7,24.7,7.5,6.4,14.1,22.8,100.5,1992
"315","New Jersey Nets*","18","25.6","40","42","36","46","-1.70","0.15","-1.54","107.0","108.7","98.0",".265",".088",".510",".488","14.1","39.1",".247","66.3","Brendan Byrne Arena","517,356","",12,82,241.2,42.4,92.4,0.458,2.7,8.2,0.334,39.6,84.3,0.47,17.9,24.5,0.732,18.4,29.2,47.6,23.6,9,7.5,17,22.4,105.4,1992
"316","New York Knicks*","7","27.3","51","31","52","30","3.89","-0.22","3.67","108.3","104.2","92.9",".295",".089",".531",".471","14.0","34.6",".248","71.1","Madison Square Garden (IV)","726,608","",22,82,242.1,40.4,84.7,0.477,2.5,7.5,0.325,37.9,77.2,0.492,18.3,25,0.734,14.5,30.4,44.8,26,7.7,4.7,15.1,23.2,101.6,1992
"317","Orlando Magic","24","26.6","21","61","23","59","-6.91","0.40","-6.52","103.5","110.5","98.0",".319",".086",".514",".502","13.5","32.4",".260","67.8","Orlando Arena","621,191","",21,82,240.3,39.3,86.6,0.453,2.4,7.4,0.324,36.9,79.2,0.466,20.6,27.7,0.746,14.3,28.4,42.7,21.9,7.8,4.5,16.9,24.1,101.6,1992
"318","Philadelphia 76ers","16","27.6","35","47","37","45","-1.27","-0.07","-1.34","108.3","109.7","93.7",".335",".101",".539",".496","13.0","30.9",".192","66.4","The Spectrum","574,137","",20,82,240.9,38.9,82.5,0.471,2.8,8.3,0.334,36.1,74.2,0.487,21.4,27.6,0.775,12.9,28.2,41.1,21.4,8.4,5.9,15.1,19.3,101.9,1992
"319","Phoenix Suns*","4","27.0","53","29","56","26","5.94","-0.26","5.68","112.1","106.2","99.4",".332",".083",".556",".471","13.0","31.7",".223","67.7","Arizona Veterans Memorial Coliseum","594,327","",3,82,241.5,43.3,88,0.492,2.8,7.3,0.381,40.6,80.8,0.502,22.7,29.2,0.776,13.3,31.2,44.5,26.9,8.2,7.1,15.1,22.6,112.1,1992
"320","Portland Trail Blazers*","2","28.1","57","25","59","23","7.27","-0.33","6.94","111.4","104.2","99.0",".335",".128",".541",".471","14.3","35.6",".251","69.9","Memorial Coliseum","528,408","",4,82,242.4,42.4,89.7,0.473,4,11.5,0.344,38.4,78.1,0.492,22.7,30,0.754,15.8,31.1,46.9,25.2,9.2,5,16.2,24.2,111.4,1992
"321","Sacramento Kings","23","25.1","29","53","26","56","-6.06","0.44","-5.63","103.9","109.9","99.6",".301",".094",".525",".493","13.9","28.5",".233","64.2","ARCO Arena (II)","697,574","",15,82,241.8,40.8,87.7,0.466,2.9,8.2,0.353,37.9,79.4,0.477,19.7,26.4,0.747,12.9,28.7,41.6,23.9,8.9,7.5,16.6,21.5,104.3,1992
"322","San Antonio Spurs*","9","27.3","47","35","50","32","3.32","-0.51","2.81","107.5","104.1","96.2",".317",".057",".528",".469","13.5","34.2",".224","69.8","HemisFair Arena","658,337","",16,82,241.2,41.2,86.5,0.476,1.4,4.9,0.292,39.7,81.5,0.487,20.1,27.4,0.736,15,31.1,46.1,24.5,8.9,7.4,16,21.9,104,1992
"323","Seattle SuperSonics*","11","27.3","47","35","46","36","1.88","-0.02","1.86","110.7","108.8","95.4",".317",".091",".538",".491","14.2","36.5",".269","66.8","Seattle Center Coliseum","588,928","",10,82,242.1,41.2,86.9,0.474,2.5,7.9,0.317,38.7,79,0.49,21.6,27.6,0.783,15.6,27.5,43.2,22.9,9.5,5.5,16.1,23.8,106.5,1992
"324","Utah Jazz*","3","28.5","55","27","57","25","6.39","-0.69","5.70","112.2","105.6","95.5",".363",".067",".557",".475","13.0","32.7",".214","68.9","Delta Center","806,663","",8,82,242.4,41.2,83.7,0.492,1.9,5.6,0.345,39.3,78.1,0.503,23.9,30.4,0.788,13.4,31,44.4,26.7,8.7,5.5,15.4,21.3,108.3,1992
"325","Washington Bullets","22","26.1","25","57","29","53","-4.46","0.11","-4.35","103.9","108.4","97.7",".268",".074",".514",".493","14.0","28.9",".235","66.2","Capital Centre","505,988","",18,82,242.1,41,89,0.461,1.8,6.5,0.272,39.2,82.5,0.476,18.5,23.9,0.778,13,28.6,41.6,24.5,8.7,5.1,15.3,22.6,102.4,1992
"326","Atlanta Hawks*","16","27.1","43","39","39","43","-0.87","0.20","-0.67","109.3","110.2","97.6",".305",".148",".534",".516","14.6","34.8",".224","68.5","Omni Coliseum","491,229","",9,82,241.8,41.4,88.7,0.466,4.7,13.1,0.355,36.7,75.6,0.486,20.1,27.1,0.742,15.7,28.6,44.3,25.4,9.8,3.4,16.3,22,107.5,1993
"327","Boston Celtics*","13","28.6","48","34","43","39","0.89","0.04","0.93","108.7","107.8","94.9",".270",".054",".536",".479","12.9","31.2",".251","69.0","Boston Garden","608,495","",19,82,241.2,42.1,86.5,0.487,1.3,4.7,0.287,40.8,81.8,0.498,18.1,23.3,0.777,13.1,29.7,42.8,24.4,7.9,5.6,14.3,22.7,103.7,1993
"328","Charlotte Hornets*","15","25.7","44","38","40","42","-0.24","0.22","-0.02","109.5","109.7","100.2",".329",".074",".547",".487","12.6","31.3",".201","65.0","Charlotte Coliseum","971,880","",2,82,240.9,42.8,87.9,0.487,2.1,6.5,0.326,40.7,81.4,0.5,22.3,29,0.771,13.4,30.6,43.9,26.4,7.8,5.8,16.2,21.8,110.1,1993
"329","Chicago Bulls*","4","28.1","57","25","58","24","6.29","-0.10","6.19","112.9","106.1","92.5",".271",".093",".535",".493","15.4","36.3",".239","68.7","Chicago Stadium","759,656","",15,82,241.8,42.4,87.9,0.482,3,8.2,0.365,39.4,79.7,0.494,17.5,23.8,0.733,15.7,27.8,43.6,26,9.5,5,13.5,22,105.2,1993
"330","Cleveland Cavaliers*","2","28.8","54","28","58","24","6.45","-0.15","6.30","112.7","106.0","94.8",".308",".108",".565",".482","13.1","28.1",".185","69.1","Coliseum at Richfield","751,465","",8,82,241.8,41.8,84,0.497,3.5,9,0.381,38.3,74.9,0.511,20.7,25.8,0.802,11.3,30.4,41.8,28.6,7.5,6.5,13.7,19.3,107.7,1993
"331","Dallas Mavericks","27","24.9","11","71","10","72","-15.20","0.52","-14.68","99.5","114.7","99.5",".299",".115",".495",".519","13.5","31.1",".347","68.1","Reunion Arena","554,724","",26,82,240.6,38.6,88.7,0.435,3.5,10.2,0.338,35.1,78.5,0.448,18.7,26.5,0.705,15,27.6,42.7,20.5,7.9,4.3,17.8,28.1,99.3,1993
"332","Denver Nuggets","21","24.8","36","46","36","46","-1.74","-0.40","-2.14","104.6","106.3","99.8",".324",".062",".518",".476","13.9","33.6",".263","68.9","McNichols Sports Arena","586,407","",14,82,241.8,40.9,88.8,0.46,1.7,5.5,0.304,39.2,83.3,0.471,21.8,28.8,0.756,15.4,31.3,46.7,21.2,7.9,6.9,17.2,24.9,105.2,1993
"333","Detroit Pistons","19","29.9","40","42","37","45","-1.39","0.29","-1.10","107.4","108.9","93.2",".271",".126",".511",".500","13.5","34.6",".212","67.8","The Palace of Auburn Hills","889,614","",25,82,241.2,39.8,87.9,0.453,3.6,11.1,0.322,36.3,76.9,0.472,17.4,23.9,0.729,15.8,28.2,44,23.7,7.1,3,14,21.3,100.6,1993
"334","Golden State Warriors","18","25.0","34","48","38","44","-0.99","0.05","-0.94","109.2","110.2","99.5",".342",".118",".543",".501","14.0","34.2",".261","67.0","Oakland-Alameda County Coliseum Arena","616,025","",3,82,242.7,42.4,88,0.482,3.6,10.4,0.35,38.7,77.6,0.499,21.6,30.1,0.717,14.9,29.1,43.9,24.5,8.5,4.7,17.7,25.1,109.9,1993
"335","Houston Rockets*","6","27.4","55","27","53","29","4.23","-0.66","3.57","109.6","105.2","94.4",".310",".159",".557",".474","13.4","30.0",".201","68.5","The Summit","554,210","",18,82,241.2,40,82.2,0.486,4.7,13.1,0.361,35.3,69.2,0.51,19.3,25.5,0.758,12,30.9,42.9,25.8,8.3,6.6,15.8,20.7,104,1993
"336","Indiana Pacers*","9","26.8","41","41","46","36","1.70","0.08","1.77","111.9","110.1","96.0",".342",".112",".547",".485","12.7","34.2",".281","67.4","Market Square Arena","530,891","",7,82,240.9,41.1,85.6,0.48,3.1,9.6,0.326,38,76,0.5,22.4,29.3,0.766,14.9,29.9,44.8,26.1,7.5,4.9,15.3,24.9,107.8,1993
"337","League Average","","27.1","","","41","41","0.00","0.00","0.00","108.0","108.0","96.8",".323",".104",".536",".491","14.0","32.0",".243","68.0","","658,192","12,888",NA,82,241.7,40.7,86,0.473,3,9,0.336,37.7,77,0.489,20.9,27.7,0.754,13.8,29.3,43.1,24.7,8.6,5.2,15.9,23.2,105.3,1993
"338","Los Angeles Clippers*","14","26.7","41","41","42","40","0.35","-0.03","0.33","107.4","107.1","99.1",".297",".067",".530",".489","15.1","32.7",".263","66.7","Los Angeles Memorial Sports Arena","532,625","",10,82,241.5,43.2,89.4,0.484,1.6,6,0.271,41.6,83.4,0.499,19,26.5,0.718,14.4,28.8,43.2,27.3,10.3,6,16.3,23.4,107.1,1993
"339","Los Angeles Lakers*","20","28.0","39","43","38","44","-1.27","0.06","-1.20","107.6","108.9","96.2",".329",".090",".534",".500","14.3","31.4",".215","66.4","Great Western Forum","633,655","",17,82,241.8,40.4,85.3,0.473,2.3,7.6,0.299,38.1,77.7,0.49,21.2,28.1,0.756,13.5,27.9,41.4,24.5,9.5,5.3,15.4,21.7,104.2,1993
"340","Miami Heat","17","25.2","36","46","38","44","-1.15","0.21","-0.93","107.7","108.9","94.6",".361",".137",".535",".495","14.2","31.9",".274","69.8","Miami Arena","614,915","",20,82,244,38.1,83.5,0.456,4.1,11.5,0.354,34.1,72.1,0.473,23.3,30.2,0.771,13.8,29.1,42.9,20.6,7.4,4.3,15.7,24.5,103.6,1993
