"","Team","Rk.x","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","Pace","FTr","3PAr","TS%","eFG%","TOV%","ORB%","FT/FGA","DRB%","Arena","Attend.","Attend./G","Rk.y","G","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","i"
"55","Golden State Warriors","11","25.1","45","37","44","38","1.04","-0.24","0.80","108.8","107.7","101.4",".324",".044",".541",".493","14.1","34.8",".256","68.8","Oakland-Alameda County Coliseum Arena","391,726","",8,82,241.2,44.5,89.6,0.496,1.1,4,0.28,43.4,85.7,0.506,20.8,29,0.717,15.6,29.9,45.5,22.2,8.4,4.8,17.4,27.1,110.9,1982
"56","Houston Rockets*","14","28.3","46","36","41","41","-0.04","-0.36","-0.39","108.3","108.3","97.2",".302",".024",".520",".500","14.3","37.8",".209","66.1","The Summit","480,190","",18,82,241.2,42.7,89.8,0.476,0.6,2.1,0.284,42.1,87.7,0.48,19.8,27.1,0.729,17.1,27.9,45,24.1,7.9,5.2,16.1,22.8,105.9,1982
"57","Indiana Pacers","16","27.0","35","47","36","46","-1.87","0.38","-1.49","102.7","104.6","98.7",".304",".044",".516",".494","15.9","30.5",".221","66.3","Market Square Arena","309,633","",22,82,241.8,40.6,87.4,0.465,1.3,3.9,0.326,39.4,83.5,0.472,19.7,26.5,0.741,13.9,28.9,42.8,23.1,9.2,6,17,24.9,102.2,1982
"58","Kansas City Kings","19","24.0","30","52","33","49","-3.10","-0.15","-3.25","104.2","107.2","101.8",".296",".018",".533",".504","16.5","29.9",".287","66.0","Kemper Arena","305,665","",13,82,242.4,44,88.8,0.495,0.3,1.6,0.2,43.6,87.2,0.5,18.9,26.3,0.719,13.2,27.8,41,25.1,9.1,4.9,18.4,28.8,107.1,1982
"59","League Average","","26.1","","","41","41","0.00","0.00","0.00","106.9","106.9","100.9",".324",".026",".539",".495","15.0","33.0",".241","67.0","","429,808","",NA,82,241.6,43.3,88.2,0.491,0.6,2.3,0.262,42.7,86,0.497,21.3,28.6,0.746,14.3,29.1,43.5,25.2,8.5,5.4,17.7,26.2,108.6,1982
"60","Los Angeles Lakers*","4","26.8","57","25","53","29","4.87","-0.50","4.37","110.2","105.5","103.1",".285",".012",".551",".493","14.8","35.8",".187","66.3","The Forum","605,236","",2,82,242.1,47.8,92.5,0.517,0.2,1.1,0.138,47.6,91.4,0.521,18.9,26.4,0.717,15.3,30.5,45.9,28.7,10.3,6.3,17.9,24.4,114.6,1982
"61","Milwaukee Bucks*","3","27.3","55","27","55","27","5.48","-0.10","5.38","107.7","102.3","100.0",".332",".023",".553",".471","15.9","35.1",".253","67.3","MECCA Arena","443,288","",11,82,241.5,43.2,85.5,0.505,0.6,2,0.299,42.6,83.5,0.51,21.4,28.4,0.753,14.2,29.5,43.7,27.2,9.3,5.5,19.4,27.8,108.4,1982
"62","New Jersey Nets*","9","25.1","44","38","43","39","0.68","0.18","0.87","103.0","102.3","103.1",".326",".020",".529",".486","18.3","33.7",".281","67.0","Brendan Byrne Arena","560,734","",14,82,241.2,42.7,88.1,0.484,0.4,1.8,0.205,42.3,86.4,0.49,20.9,28.7,0.728,14.6,28.3,42.9,25.6,11.2,5.9,20.1,28,106.7,1982
"63","New York Knicks","18","28.0","33","49","34","48","-2.67","0.52","-2.15","106.0","108.6","99.5",".302",".030",".535",".508","15.4","33.1",".255","66.9","Madison Square Garden (IV)","451,140","",16,82,241.8,43,87.5,0.491,0.7,2.6,0.271,42.3,84.9,0.498,19.5,26.5,0.738,14.2,27.7,42,25.3,8.8,4.1,18.1,26.8,106.2,1982
"64","Philadelphia 76ers*","2","28.1","58","24","56","26","5.73","0.00","5.74","109.6","103.9","100.6",".354",".020",".566",".480","16.5","30.5",".261","65.0","The Spectrum","498,901","",5,82,242.1,44.1,85,0.518,0.5,1.7,0.295,43.6,83.4,0.523,22.5,30.1,0.747,12.6,29.1,41.7,27.6,10.4,7.6,18,26.6,111.2,1982
"65","Phoenix Suns*","6","26.4","46","36","50","32","3.45","-0.40","3.05","105.8","102.4","99.5",".302",".024",".538",".470","14.6","32.2",".233","68.5","Arizona Veterans Memorial Coliseum","486,855","",17,82,241.8,42.8,87.1,0.491,0.7,2.1,0.31,42.1,85,0.496,19.9,26.3,0.758,13.7,30.7,44.4,27.1,9.2,5.2,18.6,24.7,106.2,1982
"66","Portland Trail Blazers","12","24.7","42","40","43","39","0.60","-0.21","0.39","108.8","108.2","100.5",".332",".019",".547",".502","15.0","32.5",".223","65.9","Memorial Coliseum","519,306","",9,82,241.2,44.3,87.6,0.505,0.4,1.7,0.207,43.9,85.9,0.511,21,29.1,0.72,13.9,28.7,42.6,25,8.6,4.5,17,24.5,109.8,1982
"67","San Antonio Spurs*","7","26.1","48","34","47","35","2.30","-0.52","1.79","109.9","107.6","102.5",".307",".033",".537",".487","13.7","34.0",".256","68.8","HemisFair Arena","434,278","",3,82,240.9,45.1,92.8,0.486,0.8,3.1,0.254,44.3,89.8,0.494,22.1,28.5,0.776,15.3,30.9,46.2,27.5,7.3,6.8,15.8,27,113.1,1982
"68","San Diego Clippers","22","25.4","17","65","23","59","-7.39","0.34","-7.05","106.6","113.8","101.4",".330",".048",".547",".529","13.9","33.2",".280","68.0","San Diego Sports Arena","225,036","",10,82,240.9,43.3,86.6,0.5,1.2,4.1,0.293,42.1,82.5,0.511,20.6,28.5,0.723,13.8,26.8,40.6,22.9,7.8,3.6,19.1,28.7,108.5,1982
"69","Seattle SuperSonics*","5","26.4","52","30","52","30","4.13","-0.45","3.69","106.4","102.3","100.0",".329",".021",".535",".464","14.4","31.3",".214","67.2","King County Domed Stadium","721,049","",12,82,241.8,42.7,87.5,0.488,0.5,1.9,0.248,42.3,85.7,0.494,21.3,28.8,0.74,13.5,31,44.5,25.6,8.4,5.6,16.5,25.1,107.3,1982
"70","Utah Jazz","21","24.8","25","57","27","55","-5.66","0.03","-5.63","106.2","111.7","103.9",".306",".013",".538",".513","14.1","30.6",".244","65.3","Salt Palace","311,779","",7,82,241.2,44.9,90.8,0.494,0.3,1.2,0.227,44.6,89.6,0.498,20.9,27.8,0.751,14,28.8,42.8,23.1,8.5,4.4,17.5,26.8,110.9,1982
"71","Washington Bullets*","8","26.0","43","39","43","39","0.88","0.19","1.06","103.3","102.5","99.4",".294",".033",".524",".468","13.9","29.4",".228","69.9","Capital Centre","379,891","",20,82,241.8,41.5,87.4,0.474,0.7,2.9,0.25,40.7,84.5,0.482,19.8,25.7,0.772,12.8,31.5,44.3,24.2,7.8,4.8,17,25.3,103.5,1982
